Total Play Time,Total XP,Bot Name,Simulation Run
2086.7250000000004,49194,bot1,1
2090.8250000000003,52566,bot2,1
2075.2250000000004,52150,bot3,1
2165.3250000000007,53118,bot4,1
2114.55,52526,bot3,2
2128.625,53838,bot2,2
2118.55,52646,bot3,2
2068.8500000000004,52868,bot4,2
2108.5249999999996,55262,bot4,3
2110.95,53204,bot1,3
2117.1500000000005,55656,bot2,3
2117.875000000001,51448,bot3,3
2096.5000000000005,54758,bot1,4
2063.7999999999993,53830,bot2,4
2139.85,47976,bot3,4
2066.300000000001,52324,bot4,4
2142.674999999999,49152,bot1,5
2061.125,54154,bot2,5
2156.0750000000003,53320,bot3,5
2180.2,54394,bot4,5
2104.6250000000005,52998,bot4,6
2110.025,54728,bot1,6
2112.325,55616,bot2,6
2161.6000000000004,51842,bot3,6
2064.0249999999996,49944,bot3,7
2056.5499999999993,53304,bot1,7
2068.0249999999996,50104,bot3,7
2101.3250000000003,52280,bot4,7
2136.225,50166,bot4,8
2062.8749999999995,50804,bot1,8
2050.1749999999993,50126,bot2,8
2122.3,55610,bot3,8
2114.2499999999995,56894,bot1,9
2097.7500000000005,53082,bot2,9
2158.450000000001,51748,bot3,9
2178.525000000001,58358,bot4,9
2098.9500000000003,50618,bot1,10
2074.55,52672,bot2,10
2084.2000000000003,55206,bot3,10
2081.750000000001,50898,bot4,10
2060.4750000000004,49824,bot4,11
2083.75,52692,bot2,11
2154.5499999999997,54218,bot3,11
2062.4750000000004,49924,bot4,11
2130.3749999999995,51942,bot4,12
2148.3,49290,bot1,12
2048.175,53356,bot2,12
2093.575,53730,bot3,12
2077.75,50436,bot4,13
2139.6250000000005,53134,bot1,13
2039.6750000000004,51594,bot3,13
2081.75,50596,bot4,13
2076.925,49996,bot1,14
2079.4500000000007,51804,bot2,14
2062.1750000000006,51902,bot3,14
2076.1000000000004,50848,bot4,14
2104.624999999999,50534,bot1,15
2094.3,52720,bot2,15
2145.65,53334,bot3,15
2117.875000000001,53874,bot4,15
2054.0,50018,bot1,16
2193.5750000000003,54292,bot2,16
2075.15,49630,bot3,16
2134.0750000000007,49756,bot4,16
2161.95,51964,bot1,17
2117.025000000001,52648,bot2,17
2080.700000000001,54340,bot3,17
2084.000000000001,51794,bot4,17
2123.325,50136,bot4,18
2210.1500000000005,55986,bot1,18
2110.1250000000005,48664,bot2,18
2105.35,53380,bot3,18
2077.725,47676,bot4,19
2191.35,55466,bot1,19
2016.0750000000003,48662,bot2,19
2164.775,55700,bot3,19
2133.749999999999,55096,bot4,20
2110.6000000000004,55116,bot1,20
2130.000000000001,51644,bot2,20
2150.15,52544,bot3,20
2149.775,53036,bot1,21
2116.3500000000004,54664,bot2,21
2103.4000000000005,51504,bot3,21
2162.150000000001,55084,bot4,21
2123.25,52062,bot1,22
2031.7750000000003,48978,bot2,22
2061.999999999999,48602,bot3,22
2167.6499999999996,51934,bot4,22
2052.949999999999,54180,bot4,23
2074.2,50002,bot1,23
2136.925,51354,bot2,23
2175.6749999999993,55658,bot3,23
2039.3750000000005,50468,bot2,24
