Total Bits,Total Play Time,Simulation Run
229127.30000000037,17221.775000000023,244
230535.79999999978,,245
224672.7999999986,17295.825000000023,246
225745.59999999937,17174.625000000022,247
220846.00000000055,17161.225,248
235881.10000000102,17110.975000000013,249
225282.99999999953,17244.57499999999,250
223727.29999999976,16958.475000000006,251
214974.89999999982,16886.175000000017,252
226244.39999999976,,253
218303.30000000025,17077.27499999999,254
224064.70000000013,17115.57500000001,255
225548.99999999948,17006.400000000012,256
219871.39999999883,16908.675,257
229192.90000000066,,258
226800.19999999984,,259
235739.19999999952,17305.77500000002,260
233427.7999999987,17190.700000000008,261
222461.0000000007,17012.524999999994,262
213898.50000000047,16951.82500000001,263
226746.90000000002,17150.62500000001,264
225328.5000000004,17011.775,265
223196.40000000055,16940.750000000007,266
224909.8000000004,,267
225294.7999999998,17031.150000000016,268
222674.9999999991,17009.549999999992,269
226230.10000000036,17112.62500000001,270
230136.09999999937,17128.57499999999,271
231064.19999999966,17082.024999999994,272
229229.10000000038,17266.450000000008,273
229845.70000000045,17158.625000000004,274
225180.0000000003,16815.550000000003,275
236367.4000000004,17378.525000000012,276
223289.39999999927,17158.200000000023,277
219599.8000000004,16935.2,278
226531.3999999991,17010.59999999999,279
230464.39999999947,17137.399999999994,280
218804.20000000054,16999.550000000003,281
224178.89999999988,17037.575000000015,282
234405.79999999935,17095.725000000006,283
227950.00000000084,17193.67500000001,284
224941.79999999944,17282.525000000005,285
226601.6000000005,17035.424999999992,286
229679.2000000008,17212.750000000015,287
222018.50000000012,,288
224768.1000000004,17127.550000000014,289
227455.00000000064,16970.925000000017,290
225470.40000000037,17146.72499999999,291
225759.00000000032,17174.37499999999,292
231429.20000000065,17163.62500000002,293
222852.39999999985,17262.30000000001,294
223152.40000000014,17096.125000000022,295
227964.29999999964,17393.2,296
222698.89999999982,,297
224664.99999999994,16986.574999999993,298
232514.89999999976,,299
231808.90000000034,17147.875000000007,300
225083.0999999991,17344.42500000002,301
229361.80000000008,17215.774999999998,302
235820.80000000008,,303
220456.1000000008,16980.375000000004,304
221265.69999999992,16882.9,305
222457.19999999966,17196.224999999995,306
228624.70000000074,17305.775000000005,307
230919.80000000037,17009.550000000017,308
230612.6999999993,,309
223701.00000000035,17184.650000000005,310
224306.6999999996,16819.200000000004,311
223884.8000000003,17211.550000000014,312
221198.59999999954,17165.52500000002,313
234405.89999999985,17278.500000000004,314
229341.69999999928,17334.699999999997,315
227086.10000000033,17184.525000000016,316
227376.8999999998,16956.799999999985,317
230974.89999999994,17310.800000000017,318
228182.4999999992,,319
215241.50000000073,17351.57500000002,320
223719.50000000081,16872.100000000002,321
229112.79999999946,17116.325,322
232890.30000000034,17187.599999999984,323
222201.60000000056,16922.725,324
231501.2000000001,17035.425000000025,325
223427.09999999925,17037.9,326
224094.00000000073,17295.1,327
236585.79999999938,17150.350000000017,328
222462.80000000016,16992.124999999985,329
229030.19999999992,17118.70000000001,330
220583.80000000057,,331
226070.70000000077,17200.475000000006,332
224454.30000000045,17224.05,333
227572.39999999964,16947.55000000001,334
223604.49999999977,17174.349999999995,335
225219.4000000012,17285.625000000025,336
221103.60000000006,17025.05,337
219846.59999999995,17084.500000000022,338
229779.5,17069.025000000027,339
236972.10000000123,,340
235594.49999999983,17279.725000000006,341
228349.30000000075,17148.175000000003,342
218559.8000000005,16869.050000000017,343
227374.00000000026,,344
239364.39999999982,17354.225,345
223195.39999999924,17097.500000000022,346
226022.2999999997,17026.575,347
225258.50000000038,17022.00000000001,348
224786.29999999973,16948.625,349
236172.30000000008,17352.10000000001,350
227932.00000000017,17070.724999999988,351
224458.59999999986,17041.350000000002,352
216642.5999999995,16848.849999999995,353
224966.49999999974,17063.55,354
227514.39999999883,17075.750000000015,355
230441.0999999997,17070.325000000023,356
224096.89999999944,16997.375000000007,357
220139.19999999984,16717.850000000006,358
225713.09999999948,17033.575,359
229464.79999999993,17183.775000000012,360
223898.09999999992,,361
225173.59999999893,16988.625000000015,362
223276.89999999976,16914.37500000002,363
229117.99999999974,17303.625,364
220881.29999999944,17045.199999999993,365
221447.29999999987,16864.925000000007,366
230462.8999999995,,367
231882.3000000012,17370.974999999995,368
232184.59999999977,17090.725000000006,369
223422.89999999953,17056.325000000004,370
221204.19999999934,16977.050000000003,371
230779.09999999937,17107.175000000007,372
215973.50000000081,17168.90000000001,373
215921.39999999997,17142.49999999999,374
221695.50000000035,17145.700000000008,375
226783.89999999997,17145.82500000001,376
216819.2000000004,17175.125000000004,377
220273.29999999976,17101.02500000001,378
224242.10000000027,16950.74999999999,379
230133.79999999938,17064.925,380
219617.9000000001,17210.425000000007,381
228468.40000000043,16873.00000000001,382
225670.49999999933,17337.449999999993,383
222255.99999999953,,384
225778.29999999973,17020.30000000002,385
226771.20000000033,16976.574999999997,386
237317.2999999998,17219.800000000007,387
224330.09999999846,17396.825000000004,388
226642.90000000023,17052.75000000001,389
220667.3999999995,16961.624999999996,390
222682.30000000086,17016.125000000015,391
227649.4000000003,17053.75,392
227471.90000000014,16911.625,393
229808.70000000074,17168.87500000001,394
227589.2000000007,16901.175000000014,395
234517.49999999942,17159.000000000004,396
231999.40000000037,16987.575,397
230516.79999999964,16851.225000000017,398
219207.19999999952,16896.15000000001,399
227299.29999999952,16965.925000000007,400
226127.3000000004,17118.000000000015,401
234706.70000000007,17100.150000000012,402
225819.60000000073,16983.624999999993,403
232526.60000000024,17463.600000000002,404
235043.90000000002,17369.425000000014,405
226228.4000000008,17041.175000000007,406
222986.3000000004,17267.300000000003,407
222932.5999999989,16897.77500000001,408
228442.09999999913,,409
228909.70000000077,16871.40000000001,410
227795.89999999906,17253.875,411
227257.50000000038,,412
230385.19999999955,17174.500000000007,413
235305.1999999994,17345.475000000013,414
225454.09999999913,17009.87500000001,415
227367.20000000004,17149.825000000004,416
230203.89999999906,17194.875000000015,417
220132.69999999923,17040.25,418
222335.30000000066,16970.600000000006,419
226469.79999999967,17096.375,420
225649.19999999984,16886.200000000004,421
219890.4000000005,,422
226928.40000000066,17096.599999999995,423
234942.00000000015,17183.025000000005,424
224102.4999999999,17154.925,425
221960.69999999934,17065.199999999993,426
231665.0999999992,17027.174999999996,427
229156.99999999977,17170.599999999995,428
232817.00000000087,,429
225480.49999999886,17193.825000000004,430
227431.69999999928,,431
220726.60000000012,,432
221928.0,17130.650000000016,433
228132.4000000004,17185.72500000002,434
223788.30000000095,,435
224785.60000000056,17217.1,436
221538.30000000054,16846.20000000001,437
228995.49999999916,17130.774999999998,438
228023.19999999853,17002.449999999993,439
228326.6000000006,17076.25,440
228557.60000000105,17190.85000000001,441
229380.60000000006,17198.999999999996,442
220290.3000000004,17045.45000000001,443
224968.99999999968,17076.100000000024,444
223910.1000000001,,445
227697.10000000047,17128.4,446
228006.99999999997,17021.3,447
230450.2999999999,16961.975000000013,448
226422.50000000038,17156.975,449
220724.80000000028,17137.27500000001,450
218372.60000000102,16974.600000000002,451
231686.9000000003,,452
226524.7000000005,,453
228879.00000000073,17092.65000000001,454
224293.99999999988,,455
229248.99999999974,17253.049999999996,456
228694.70000000077,17222.475,457
225251.60000000015,17222.425000000003,458
228897.59999999974,17183.824999999993,459
223823.2000000009,17024.524999999998,460
228382.19999999952,17116.125000000007,461
224889.99999999907,17293.799999999996,462
220774.89999999918,17221.925000000007,463
229794.7000000007,17150.499999999996,464
235892.4999999997,17374.125,465
226366.49999999948,16896.375000000004,466
229859.0000000005,17188.475000000017,467
224050.89999999988,,468
231141.70000000048,17115.3,469
232801.09999999954,17138.875,470
229442.40000000008,17263.000000000004,471
226084.29999999976,17237.075000000015,472
226019.39999999994,,473
222114.4000000003,17125.324999999997,474
224644.7999999998,,475
229770.59999999942,17322.349999999995,476
218574.79999999984,16985.000000000004,477
227201.9000000005,17014.675,478
228893.0999999999,,479
232752.30000000042,17114.000000000022,480
223385.10000000012,17245.500000000015,481
228778.79999999964,,482
225379.69999999987,17208.400000000016,483
224389.4000000004,17111.7,484
230884.79999999987,17303.075000000008,485
223304.49999999948,16955.299999999996,486
217669.19999999987,,487
225379.40000000005,17005.575000000008,488
234511.4999999989,,489
230544.79999999903,17018.150000000005,490
224906.8000000012,,491
232930.3999999992,17223.575000000023,492
226438.69999999934,17214.32500000001,493
226593.0,17155.550000000003,494
232730.20000000016,17501.075000000026,495
222931.9999999997,17127.12499999998,496
229139.59999999998,17381.750000000015,497
222194.9000000002,16756.3,498
229389.49999999997,,499
224818.69999999952,16982.825000000004,500
227641.89999999947,17192.899999999994,501
228191.70000000004,,502
222486.79999999944,17122.250000000015,503
223239.99999999948,17015.675000000007,504
229098.3999999992,16952.550000000007,505
220993.0000000005,17072.825000000004,506
230400.3000000003,,507
220371.99999999985,16827.700000000008,508
225090.20000000056,17124.025000000023,509
223562.99999999985,17050.700000000008,510
230586.799999999,17291.849999999995,511
225842.30000000045,16950.100000000013,512
225576.0000000003,17203.325000000004,513
226809.499999999,17168.77500000001,514
218598.99999999962,17005.57500000001,515
226112.99999999962,16961.35000000001,516
225541.79999999955,17207.324999999997,517
220648.60000000015,16924.500000000007,518
219092.70000000048,16810.9,519
217096.79999999935,16981.64999999999,520
215875.8,17017.074999999997,521
227530.99999999965,17288.52500000001,522
216463.40000000052,,523
227330.09999999995,17275.12500000001,524
221943.1000000002,17228.425000000003,525
222595.19999999972,16961.049999999992,526
231308.39999999953,17246.34999999999,527
220679.9000000003,17072.675,528
231469.90000000005,17088.72500000002,529
235702.50000000032,17113.975000000006,530
225306.70000000106,17125.174999999992,531
227580.09999999875,17216.375000000004,532
222001.3000000004,,533
225259.19999999984,17330.749999999993,534
229297.9000000009,17171.275000000016,535
226760.89999999997,17220.675000000017,536
233170.29999999807,17313.700000000004,537
233450.7000000004,17302.25,538
226058.89999999863,17070.024999999976,539
226902.99999999997,17231.250000000007,540
223871.9999999997,17057.30000000002,541
224205.6000000003,17192.725,542
233729.59999999977,17197.35000000001,543
232839.39999999985,17106.475000000017,544
219513.60000000006,16917.550000000025,545
217898.30000000048,16818.575,546
218498.199999999,16917.5,547
228926.79999999993,17118.425000000003,548
224203.30000000034,17028.80000000001,549
214000.7000000003,,550
225440.89999999813,17026.900000000005,551
226065.49999999936,17225.975000000024,552
227742.99999999985,,553
234286.40000000087,16886.80000000001,554
221149.99999999965,,555
229532.3999999995,,556
222619.7000000005,16843.775,557
221316.70000000027,16849.500000000015,558
223649.49999999977,17255.775,559
230341.29999999946,16960.17500000001,560
229581.2000000005,17101.57500000001,561
225893.19999999908,16988.574999999997,562
224079.49999999983,17011.125000000007,563
229616.50000000087,16907.325000000004,564
223703.09999999974,16855.275000000016,565
221328.79999999938,16858.80000000001,566
216477.20000000033,16883.700000000015,567
219982.29999999978,17116.17499999999,568
223835.5000000008,17078.875,569
230653.40000000008,17327.524999999998,570
223433.89999999953,16769.275,571
220132.10000000027,16868.575000000004,572
217000.39999999935,16935.625000000025,573
233618.29999999795,17229.17500000002,574
228747.20000000056,17000.47500000001,575
219317.49999999933,16882.1,576
220012.2999999998,17007.400000000016,577
222979.40000000046,17138.85,578
227211.40000000055,17104.600000000013,579
232699.3999999992,,580
223183.1999999999,17189.20000000001,581
224862.60000000114,17091.050000000007,582
217960.3999999998,17079.42500000001,583
230353.49999999916,16923.500000000015,584
218128.89999999985,16875.574999999993,585
227904.59999999963,17194.37500000001,586
226225.49999999895,,587
234317.59999999957,17313.9,588
223186.00000000038,16973.825000000015,589
233321.39999999938,17086.37500000001,590
225772.3999999997,17048.25000000001,591
229530.89999999947,17255.3,592
224302.00000000023,17142.600000000006,593
217469.1999999994,,594
224430.6999999996,16993.200000000004,595
226740.59999999977,17061.150000000016,596
228294.39999999956,17085.575000000004,597
221844.6000000008,17094.95,598
218494.29999999987,17267.375000000007,599
224484.29999999996,,600
223908.1999999998,16927.92500000001,601
225276.10000000036,17218.22499999999,602
218539.69999999946,17058.47499999998,603
227294.49999999924,17215.975000000006,604
229271.40000000026,17074.600000000024,605
222569.9000000001,16941.925000000007,606
222883.59999999954,17052.749999999996,607
232393.39999999953,,608
224758.69999999972,16894.899999999983,609
217704.59999999945,17161.72500000002,610
225928.39999999932,17321.35000000002,611
227854.30000000045,16863.050000000007,612
224613.80000000013,17002.025000000005,613
227296.1999999989,16751.474999999995,614
232199.70000000013,16906.35,615
227852.29999999987,17336.374999999993,616
226520.99999999965,16975.925000000007,617
219624.09999999986,16941.34999999999,618
229357.49999999948,17068.1,619
225496.6999999996,17031.500000000004,620
216627.60000000044,,621
229665.3999999997,17354.100000000017,622
228743.09999999966,16956.550000000014,623
217261.50000000093,17118.299999999996,624
232181.50000000015,16939.65000000002,625
231625.7000000004,16879.850000000006,626
220305.29999999996,16817.45,627
231707.80000000066,,628
230753.7000000004,17287.149999999994,629
223721.0000000002,,630
226799.0000000002,17272.15,631
224534.19999999995,17036.35,632
222101.99999999913,17095.700000000004,633
229596.9,16935.300000000003,634
230260.00000000052,17344.775000000012,635
222484.099999999,17047.950000000015,636
229557.1000000003,17251.15000000001,637
224956.60000000082,17092.775000000016,638
222348.00000000108,16923.074999999997,639
224733.29999999926,17145.65000000001,640
225479.5999999998,17082.175,641
232729.49999999962,17180.525,642
220521.70000000016,16956.674999999985,643
227726.99999999994,,644
236722.1999999996,,645
220738.69999999992,17033.225000000002,646
228788.60000000024,17015.12499999999,647
230627.0999999999,17127.125000000004,648
221017.39999999976,17350.05000000001,649
223000.10000000097,17120.475000000024,650
228102.8000000003,17330.125000000004,651
226570.59999999995,,652
226150.8000000005,16882.474999999995,653
217467.40000000046,,654
229871.20000000056,17152.000000000007,655
220796.60000000027,16935.274999999998,656
233148.7999999999,17124.599999999995,657
219711.8000000003,,658
219923.2999999993,,659
230071.2999999996,17132.774999999998,660
221166.99999999968,17241.325000000008,661
231080.69999999984,17226.6,662
230722.5999999998,17406.025000000012,663
232589.6000000008,17096.050000000007,664
225119.6999999989,16972.52500000002,665
233365.69999999914,,666
231044.90000000046,17253.924999999996,667
232369.4999999997,,668
225223.9000000006,17167.949999999983,669
224479.3999999999,16977.800000000007,670
236846.8000000009,,671
237075.70000000074,17238.175000000007,672
225795.70000000068,17016.550000000003,673
230505.19999999966,17345.075000000023,674
226797.80000000045,17190.52500000001,675
231372.10000000068,17139.02499999998,676
230449.70000000054,17129.77500000001,677
226021.1999999995,17290.549999999996,678
225657.29999999976,17041.275000000012,679
221707.49999999968,16702.000000000004,680
224210.79999999958,17325.950000000015,681
222494.79999999973,17350.899999999998,682
227817.4000000005,17096.925000000014,683
225897.50000000032,17232.65,684
222716.4999999997,16907.149999999994,685
226345.50000000108,17150.000000000004,686
228320.19999999966,17225.025000000016,687
227012.09999999998,17172.72500000003,688
224747.29999999944,16896.85000000001,689
229163.70000000045,17268.025000000016,690
224233.4999999997,17311.09999999999,691
226005.70000000033,17123.22500000001,692
227098.00000000076,17191.300000000003,693
221083.50000000044,17091.225000000006,694
232349.49999999977,16944.4,695
227569.00000000105,17192.100000000002,696
221844.40000000029,16989.800000000017,697
226930.69999999943,17235.52500000001,698
221122.50000000058,,699
226797.50000000081,16999.45000000002,700
227062.59999999966,16972.800000000017,701
228089.09999999902,17170.625000000022,702
231720.09999999893,,703
230001.60000000044,17331.525,704
213583.30000000042,16760.90000000001,705
233220.00000000012,16868.89999999999,706
218691.99999999985,17017.8,707
225776.2000000002,17114.225000000013,708
228542.9000000009,17145.82500000002,709
231068.89999999915,17023.574999999983,710
220832.60000000097,16967.2,711
227795.10000000006,17333.075000000004,712
221959.9000000009,17333.225000000013,713
222254.1000000011,17080.625000000007,714
224217.90000000133,17140.775,715
232017.20000000007,,716
227929.99999999977,16897.950000000004,717
228724.7999999987,17134.55000000001,718
223442.20000000024,17156.450000000004,719
219714.09999999995,16997.900000000005,720
224866.09999999998,17057.85000000001,721
226910.0999999994,16971.250000000004,722
235995.8000000003,17335.074999999997,723
226792.70000000022,,724
235647.79999999923,17512.074999999997,725
231051.09999999867,,726
219364.99999999974,17018.100000000006,727
225798.0000000002,17039.375000000015,728
221644.7999999997,17084.950000000004,729
227832.49999999942,17096.025,730
240977.69999999972,,731
221528.7,17188.325000000004,732
219935.70000000007,16787.600000000006,733
220146.90000000043,17111.675000000014,734
230209.79999999973,17028.250000000007,735
221343.69999999908,16978.674999999985,736
226366.39999999976,16922.70000000001,737
232704.09999999928,17186.325000000004,738
228255.0999999992,16871.250000000007,739
229242.89999999886,17281.750000000004,740
219498.49999999974,16912.97499999999,741
224211.89999999895,17275.024999999987,742
229399.99999999919,17039.675000000014,743
222382.3999999999,17069.649999999994,744
231382.60000000044,17184.60000000001,745
227240.89999999973,17055.07500000002,746
225556.29999999978,17038.000000000004,747
229067.69999999958,16954.700000000008,748
221841.79999999993,16782.25000000002,749
235017.499999999,17192.40000000001,750
225596.69999999861,17010.849999999988,751
229604.199999999,17059.424999999996,752
228507.89999999967,17149.524999999994,753
214892.9,,754
231157.99999999904,17347.400000000012,755
224185.50000000017,16885.05,756
223159.7,17191.875000000015,757
225395.09999999942,17255.825000000015,758
223941.4999999989,,759
229952.79999999944,17034.249999999996,760
225737.7999999998,17135.275000000016,761
229689.30000000037,16980.500000000025,762
225956.39999999962,16862.675000000007,763
226009.69999999934,16844.9,764
222917.30000000034,17078.14999999999,765
228979.20000000045,17174.174999999996,766
225483.80000000002,17108.900000000012,767
226625.50000000006,17007.75000000002,768
219144.49999999968,17013.15000000002,769
226974.59999999971,16926.75,770
221151.5000000003,17055.375000000007,771
220036.7999999999,17010.700000000008,772
226194.09999999893,17238.224999999988,773
220278.9999999999,16959.349999999995,774
227848.40000000029,16972.925,775
225484.49999999968,16947.025000000012,776
220311.20000000042,16986.57499999999,777
226825.90000000034,17108.950000000004,778
230722.3000000002,17280.874999999996,779
230723.09999999925,17224.625000000015,780
216987.00000000102,16905.92500000001,781
228875.99999999997,17160.324999999997,782
225269.49999999898,17112.85,783
235387.09999999977,,784
218688.5000000007,17068.999999999996,785
226310.20000000042,17098.525000000005,786
227549.10000000038,17104.325,787
222867.9000000001,17067.599999999995,788
218547.69999999963,16742.2,789
215315.80000000037,16991.174999999996,790
232770.20000000013,,791
228897.40000000052,17339.12500000002,792
216891.00000000032,17171.300000000017,793
220626.40000000029,17109.625000000007,794
220906.10000000038,17127.65,795
227923.30000000025,17319.525000000005,796
223714.5999999998,16959.675,797
224433.70000000074,17170.825000000008,798
229465.09999999905,,799
233770.39999999994,17321.050000000014,800
226907.69999999882,17010.10000000001,801
218553.1999999996,16980.225000000002,802
221462.59999999986,17111.15000000001,803
228598.00000000023,17124.525000000005,804
230464.60000000015,17269.87500000001,805
226630.89999999976,17061.525000000012,806
235080.1999999993,17303.0,807
229851.39999999903,17225.100000000006,808
227368.79999999978,17292.15000000001,809
220855.59999999998,,810
229982.49999999945,17254.250000000004,811
224850.99999999965,17016.550000000017,812
226670.3999999991,17291.550000000007,813
226941.29999999987,17000.54999999999,814
222922.09999999928,16806.975000000002,815
221253.49999999988,,816
225070.90000000046,16965.525,817
229842.49999999968,17033.85,818
220810.49999999942,17029.675000000003,819
220100.6000000003,16810.775000000005,820
219050.20000000045,17057.274999999998,821
230671.79999999912,17192.12500000001,822
226967.29999999964,17135.650000000012,823
230262.49999999942,17102.40000000001,824
230115.29999999882,17233.125,825
233196.0000000002,17170.624999999993,826
223975.699999999,17010.850000000002,827
226678.49999999985,16913.225000000013,828
217472.59999999922,16980.375000000004,829
224142.1999999996,17090.45,830
224158.50000000052,17192.949999999997,831
222192.49999999916,16946.85000000002,832
230785.99999999965,17292.675,833
222536.3000000007,16885.899999999998,834
222943.50000000052,16911.150000000023,835
226423.90000000002,17066.175000000017,836
